Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
Sky And Sea (Blue In Green)	Cassandra Wilson	Traveling Miles	Jazz	324	10	1999
Slim Pickings	Erik Truffaz	The Dawn	Jazz	64	5	1997
Smoke Gets In Your Eyes	Nana Mouskouri	Nana Mouskouri in New York	Jazz	160	11	1962
Snow	Caecilie Norby	My Corner Of The Sky	Jazz	324	10	1996
So What	Miles Davis	Kind of Blue	Jazz	565	1	1959
Some Day	Viktoria Tolstoy	Shining On You	Jazz	149	9	2004
Somebody's Watching You	Al Jarreau	Glow	Jazz	225	7	1976
Someday My Prince Will Come	Cassandra Wilson	Traveling Miles	Jazz	233	7	1999
Someone To Watch Over Me	Chet Baker	My Funny Valentine	Jazz	183	2	1994
Somewhere Else Before	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	335	1	2000
A Song For You	Caecilie Norby	My Corner Of The Sky	Jazz	234	11	1996
Spam-Boo-Limbo	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	279	9	2000
Spartacus Love Theme	Marc Copland	Some Love Songs	Jazz	473	5	2005
Spinning Wheel	Caecilie Norby	My Corner Of The Sky	Jazz	307	7	1996
Spot Of Choice	Tab Two	Belle Affaire	Jazz	284	3	1996
Springsville	Miles Davis	Miles Ahead	Jazz	207	1	1957
Springsville (Alternate Take)	Miles Davis	Miles Ahead	Jazz	196	11	1957
Spunky Sprawl	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	384	8	2002
St. Louis Blues	Herbie Hancock	Gershwin's World	Jazz	350	5	1998
