Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
Eine Kleine Filmmusik	Tab Two	Belle Affaire	Jazz	87	10	1996
Elevation Of Love	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	403	7	2003
Embraceable You	Herbie Hancock	Gershwin's World	Jazz	278	14	1998
Equilibrium	Viktoria Tolstoy	Shining On You	Jazz	353	5	2004
Eronel	Esbjoern Svensson Trio	Plays Monk	Jazz	299	8	1997
Evening In Atlantis	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	50	4	2003
Every Time We Say Goodbye	Silje Nergaard	Port Of Call	Jazz	320	10	2000
Everybody's Jumpin'	Dave Brubeck Quartet	Time Out	Jazz	264	6	1959
Everyone Beneath The Sun	Caecilie Norby	Queen Of Bad Excuses	Jazz	311	4	1999
Evidence	Thelonious Monk	Misterioso	Jazz	615	8	1958
Evidence                      	Esbjoern Svensson Trio	Plays Monk	Jazz	305	9	1997
The Face Of Love	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	411	10	2000
Fading Maid Postludium	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	749	11	2006
Fading Maid Preludium	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	250	1	2006
Finger	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	510	2	1998
Fire And Rain	Al Jarreau	Glow	Jazz	289	6	1976
Flamenco Sketches	Miles Davis	Kind of Blue	Jazz	566	5	1959
Flamenco Sketches (Alternate Take)	Miles Davis	Kind of Blue	Jazz	571	6	1959
Fly	Caecilie Norby	Queen Of Bad Excuses	Jazz	306	2	1999
Footprints	Marc Copland	Some Love Songs	Jazz	432	6	2005
For All We Know	Silje Nergaard	Port Of Call	Jazz	185	8	2000
Foreverly	Viktoria Tolstoy	Shining On You	Jazz	284	12	2004
Freddie Freeloader	Miles Davis	Kind of Blue	Jazz	589	2	1959
Free Four	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	402	3	1998
Free Stylin'	Erik Truffaz	The Dawn	Jazz	184	8	1997
From Above	Viktoria Tolstoy	My Swedish Heart	Jazz	272	3	2005
Ganz leicht	Goetz Alsmann	Kuss	Jazz	197	2	2005
Ganz leicht (P)	Goetz Alsmann	Kuss	Jazz	195	1	2005
Gary Kasparov - Black And White	Amsterdam Jazz Quintet	Portraits	Jazz	533	2	1997
(Getting Some) Fun Out Of Life	Madeleine Peyroux	Dreamland	Jazz	193	4	1996
Giant Body	Rebekka Bakken	The Art Of How To Fall	Jazz	237	8	2003
Glad To Be Unhappy	Marc Copland	Some Love Songs	Jazz	563	4	2005
Glow	Al Jarreau	Glow	Jazz	268	9	1976
The Goldhearted Miner	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	291	3	2006
Goldwrap	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	242	9	2006
Good Morning Susie Soho	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	351	6	2000
Grandma's Song	Viktoria Tolstoy	My Swedish Heart	Jazz	250	1	2005
hands off                     	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	377	11	1998
Harlequin	Weather Report	Heavy Weather	Jazz	241	4	1977
Have You Seen The Child	Al Jarreau	Glow	Jazz	229	4	1976
Havona	Weather Report	Heavy Weather	Jazz	362	8	1977
Here Come De Honey Man	Herbie Hancock	Gershwin's World	Jazz	238	4	1998
Herkules Jonssons lat	Esbjoern Svensson Trio	Winter in Venice	Jazz	196	13	1999
Hey Sweet Man	Madeleine Peyroux	Dreamland	Jazz	240	2	1996
Himalaya's Bijou	Caecilie Norby	Queen Of Bad Excuses	Jazz	202	10	1999
Hold Me, Thrill Me, Kiss Me	Nana Mouskouri	Nana Mouskouri in New York	Jazz	178	5	1962
Hold On Me	Al Jarreau	Glow	Jazz	106	5	1976
I'll String Along With You	Diana Krall	When I Look In Your Eyes	Jazz	285	8	1999
I'm Glad There Is You	Chet Baker	My Funny Valentine	Jazz	195	5	1994
I'm Gonna Sit Right Down And Write Myself A Letter	Madeleine Peyroux	Dreamland	Jazz	224	3	1996
I'm Thru With Love	Chet Baker	Chet Baker & Strings	Jazz	159	2	1953
I've Got You Under My Skin	Diana Krall	When I Look In Your Eyes	Jazz	370	6	1999
I've Never Been In Love Before	Chet Baker	My Funny Valentine	Jazz	270	12	1994
I've Tried And I've Waited	Rebekka Bakken	The Art Of How To Fall	Jazz	248	4	2003
I Can't Give You Anything But Love	Diana Krall	When I Look In Your Eyes	Jazz	153	7	1999
I Don't Wanna Be Kissed (By Anyone But You)	Miles Davis	Miles Ahead	Jazz	191	10	1957
I Don't Wanna Be Kissed (By Anyone But You) (Alternate Take)	Miles Davis	Miles Ahead	Jazz	192	14	1957
I Fall In Love Too Easily	Chet Baker	My Funny Valentine	Jazz	200	14	1994
I Fall In Love Too Easily	Marc Copland & Dieter Ilg	Two Way Street	Jazz	503	6	1993
I Get A Kick Out Of You	Nana Mouskouri	Nana Mouskouri in New York	Jazz	154	15	1962
I Hope It's Spring For You	Viktoria Tolstoy	My Swedish Heart	Jazz	283	10	2005
I Love You	Chet Baker	Chet Baker & Strings	Jazz	168	7	1953
I Married An Angel	Chet Baker	Chet Baker & Strings	Jazz	217	5	1953
I Mean You	Esbjoern Svensson Trio	Plays Monk	Jazz	402	1	2000
